[framework] 2017-08-08 11:35:55,133  [ERROR]  com.basic.TestNGListener.onTestFailure(TestNGListener.java:33)  [240533] | searchArticleForContentText9Test Failure××××××××××
[framework] 2017-08-08 11:35:57,255  [INFO]  com.basic.ScreenShot.getScreenShot(ScreenShot.java:49)  [242655] | 截图保存的路径:C:\Users\xingxue\eclipse-workspace\com.cn.ui//snapshot//searchArticleForContentText9_20170808_113555.png
[framework] 2017-08-08 11:36:05,221  [INFO]  com.basic.TestNGListener.onTestStart(TestNGListener.java:49)  [250621] | --------------searchArticleReadNumber Start-----------
[framework] 2017-08-08 11:36:05,226  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [250626] | pageName is:tab栏
[framework] 2017-08-08 11:36:09,720  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [255120] | pageName is:firstPage
[framework] 2017-08-08 11:36:11,017  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [256417] | pageName is:searchPage
[framework] 2017-08-08 11:36:11,982  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [257382] | pageName is:searchPage
[framework] 2017-08-08 11:36:12,565  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [257965] | pageName is:searchPage
[framework] 2017-08-08 11:36:12,843  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [258243] | pageName is:searchPage
[framework] 2017-08-08 11:36:13,594  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [258994] | pageName is:searchPage
[framework] 2017-08-08 11:36:14,192  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [259592] | pageName is:searchPage
[framework] 2017-08-08 11:36:14,717  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [260117] | pageName is:searchPage
[framework] 2017-08-08 11:36:15,538  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [260938] | pageName is:commonButton
[framework] 2017-08-08 11:36:15,886  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [261286] | pageName is:searchPage
[framework] 2017-08-08 11:36:17,325  [INFO]  com.basic.TestNGListener.onTestSuccess(TestNGListener.java:27)  [262725] | searchArticleReadNumberTest Success√√√√√√√√√√
[framework] 2017-08-08 11:36:17,326  [INFO]  com.basic.TestNGListener.onTestStart(TestNGListener.java:49)  [262726] | --------------searchArticleTopList Start-----------
[framework] 2017-08-08 11:36:17,331  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [262731] | pageName is:tab栏
[framework] 2017-08-08 11:36:21,275  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [266675] | pageName is:firstPage
[framework] 2017-08-08 11:36:21,747  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [267147] | pageName is:searchPage
[framework] 2017-08-08 11:36:23,230  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [268630] | pageName is:searchPage
[framework] 2017-08-08 11:36:24,739  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [270139] | pageName is:commonButton
[framework] 2017-08-08 11:36:24,995  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [270395] | pageName is:searchPage
[framework] 2017-08-08 11:36:28,792  [INFO]  com.basic.TestNGListener.onTestSuccess(TestNGListener.java:27)  [274192] | searchArticleTopListTest Success√√√√√√√√√√
[framework] 2017-08-08 11:36:28,794  [INFO]  com.basic.TestNGListener.onTestStart(TestNGListener.java:49)  [274194] | --------------searchArticleWeekList Start-----------
[framework] 2017-08-08 11:36:28,798  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [274198] | pageName is:tab栏
[framework] 2017-08-08 11:36:30,847  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [276247] | pageName is:firstPage
[framework] 2017-08-08 11:36:32,794  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [278194] | pageName is:searchPage
[framework] 2017-08-08 11:36:34,262  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [279662] | pageName is:searchPage
[framework] 2017-08-08 11:36:35,653  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [281053] | pageName is:searchPage
[framework] 2017-08-08 11:36:35,734  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [281134] | pageName is:commonButton
[framework] 2017-08-08 11:36:36,011  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [281411] | pageName is:searchPage
[framework] 2017-08-08 11:36:39,783  [INFO]  com.basic.TestNGListener.onTestSuccess(TestNGListener.java:27)  [285183] | searchArticleWeekListTest Success√√√√√√√√√√
[framework] 2017-08-08 11:36:39,784  [ERROR]  com.basic.TestNGListener.onTestSkipped(TestNGListener.java:41)  [285184] | searchArticleTowweekListTest Skipped
[framework] 2017-08-08 11:36:48,146  [INFO]  com.basic.TestNGListener.onTestStart(TestNGListener.java:49)  [293546] | --------------searchArticleMonthList Start-----------
[framework] 2017-08-08 11:36:48,150  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [293550] | pageName is:tab栏
[framework] 2017-08-08 11:36:53,914  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [299314] | pageName is:firstPage
[framework] 2017-08-08 11:36:55,787  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [301187] | pageName is:searchPage
[framework] 2017-08-08 11:36:56,240  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [301640] | pageName is:searchPage
[framework] 2017-08-08 11:36:57,836  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [303236] | pageName is:searchPage
[framework] 2017-08-08 11:36:57,921  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [303321] | pageName is:commonButton
[framework] 2017-08-08 11:36:58,193  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [303593] | pageName is:searchPage
[framework] 2017-08-08 11:37:01,949  [INFO]  com.basic.TestNGListener.onTestSuccess(TestNGListener.java:27)  [307349] | searchArticleMonthListTest Success√√√√√√√√√√
[framework] 2017-08-08 11:37:03,550  [INFO]  com.basic.TestNGListener.onFinish(TestNGListener.java:59)  [308950] | --------------Test Finish-----------
[framework] 2017-08-08 11:42:05,287  [INFO]  com.basic.DriverFactory.createAndroidDriver(DriverFactory.java:44)  [0] | APP启动成功
[framework] 2017-08-08 11:42:05,304  [INFO]  com.basic.TestNGListener.onTestStart(TestNGListener.java:49)  [17] | --------------searchArticleForContentText1 Start-----------
[framework] 2017-08-08 11:42:05,516  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [229] | pageName is:tab栏
[framework] 2017-08-08 11:42:09,423  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [4136] | pageName is:firstPage
[framework] 2017-08-08 11:42:10,565  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [5278] | pageName is:searchPage
[framework] 2017-08-08 11:42:15,530  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [10243] | pageName is:searchPage
[framework] 2017-08-08 11:42:19,645  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [14358] | pageName is:searchPage
[framework] 2017-08-08 11:42:21,194  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [15907] | pageName is:searchPage
[framework] 2017-08-08 11:42:21,275  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [15988] | pageName is:commonButton
[framework] 2017-08-08 11:42:21,591  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [16304] | pageName is:searchPage
[framework] 2017-08-08 11:42:25,343  [INFO]  com.basic.TestNGListener.onTestSuccess(TestNGListener.java:27)  [20056] | searchArticleForContentText1Test Success√√√√√√√√√√
[framework] 2017-08-08 11:42:25,346  [INFO]  com.basic.TestNGListener.onTestStart(TestNGListener.java:49)  [20059] | --------------searchArticleForContentText2 Start-----------
[framework] 2017-08-08 11:42:25,353  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [20066] | pageName is:tab栏
[framework] 2017-08-08 11:42:27,479  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [22192] | pageName is:firstPage
[framework] 2017-08-08 11:42:29,239  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [23952] | pageName is:searchPage
[framework] 2017-08-08 11:42:35,376  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [30089] | pageName is:searchPage
[framework] 2017-08-08 11:42:39,410  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [34123] | pageName is:searchPage
[framework] 2017-08-08 11:42:40,593  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [35306] | pageName is:searchPage
[framework] 2017-08-08 11:42:40,717  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [35430] | pageName is:commonButton
[framework] 2017-08-08 11:42:41,037  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [35750] | pageName is:searchPage
[framework] 2017-08-08 11:42:44,815  [INFO]  com.basic.TestNGListener.onTestSuccess(TestNGListener.java:27)  [39528] | searchArticleForContentText2Test Success√√√√√√√√√√
[framework] 2017-08-08 11:42:44,818  [INFO]  com.basic.TestNGListener.onTestStart(TestNGListener.java:49)  [39531] | --------------searchArticleForContentText3 Start-----------
[framework] 2017-08-08 11:42:44,823  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [39536] | pageName is:tab栏
[framework] 2017-08-08 11:42:46,858  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [41571] | pageName is:firstPage
[framework] 2017-08-08 11:42:48,123  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [42836] | pageName is:searchPage
[framework] 2017-08-08 11:42:54,202  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [48915] | pageName is:searchPage
[framework] 2017-08-08 11:42:58,265  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [52978] | pageName is:searchPage
[framework] 2017-08-08 11:42:59,306  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [54019] | pageName is:searchPage
[framework] 2017-08-08 11:42:59,451  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [54164] | pageName is:commonButton
[framework] 2017-08-08 11:42:59,774  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [54487] | pageName is:searchPage
[framework] 2017-08-08 11:43:03,530  [INFO]  com.basic.TestNGListener.onTestSuccess(TestNGListener.java:27)  [58243] | searchArticleForContentText3Test Success√√√√√√√√√√
[framework] 2017-08-08 11:43:03,532  [INFO]  com.basic.TestNGListener.onTestStart(TestNGListener.java:49)  [58245] | --------------searchArticleForContentText4 Start-----------
[framework] 2017-08-08 11:43:03,537  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [58250] | pageName is:tab栏
[framework] 2017-08-08 11:43:05,592  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [60305] | pageName is:firstPage
[framework] 2017-08-08 11:43:07,462  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [62175] | pageName is:searchPage
[framework] 2017-08-08 11:43:13,479  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [68192] | pageName is:searchPage
[framework] 2017-08-08 11:43:17,568  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [72281] | pageName is:searchPage
[framework] 2017-08-08 11:43:19,487  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [74200] | pageName is:searchPage
[framework] 2017-08-08 11:43:19,566  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [74279] | pageName is:commonButton
[framework] 2017-08-08 11:43:19,852  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [74565] | pageName is:searchPage
[framework] 2017-08-08 11:43:23,610  [INFO]  com.basic.TestNGListener.onTestSuccess(TestNGListener.java:27)  [78323] | searchArticleForContentText4Test Success√√√√√√√√√√
